ProductName,Price,BrandName,ProductCategory,SuperCategory,Retailer,TotalSizes,AvailSize,Color,Rating
1,11,2,10,2,2,1,1,1,3
1,11,2,10,2,2,1,1,1,3
1,11,2,10,2,2,1,1,1,3
1,11,2,10,2,2,1,1,1,3
1,11,2,10,2,2,1,1,1,3
1,11,2,10,2,2,1,1,1,4
1,11,2,10,2,2,1,1,1,4
2,26,2,10,2,2,2,2,2,4
2,26,2,10,2,2,2,2,2,4
2,26,2,10,2,2,2,2,2,4
2,26,2,10,2,2,2,2,2,4
2,26,2,10,2,2,2,2,2,4
2,26,2,10,2,2,2,2,2,4
2,26,2,10,2,2,2,2,2,5
3,26,2,5,2,2,2,2,3,3
3,26,2,5,2,2,2,2,3,3
3,26,2,5,2,2,2,2,3,3
3,26,2,5,2,2,2,2,3,3
3,26,2,5,2,2,2,2,3,3
3,26,2,5,2,2,2,2,3,4
3,26,2,5,2,2,2,2,3,4
3,26,2,5,2,2,2,2,3,4
3,26,2,5,2,2,2,2,3,5
4,27,2,10,2,2,2,2,2,3
4,27,2,10,2,2,2,2,2,3
4,27,2,10,2,2,2,2,2,3
4,27,2,10,2,2,2,2,2,3
4,27,2,10,2,2,2,2,2,3
5,10,2,3,1,2,4,4,5,4
5,10,2,3,1,2,4,4,6,4
5,10,2,3,1,2,4,4,7,4
5,10,2,3,1,2,3,4,7,5
5,10,2,3,1,2,3,4,9,5
5,10,2,3,1,2,4,4,5,4
5,10,2,3,1,2,4,4,6,4
5,10,2,3,1,2,4,4,7,4
5,10,2,3,1,2,3,4,10,4
5,10,2,3,1,2,3,4,7,5
5,10,2,3,1,2,3,4,9,5
5,10,2,3,1,2,4,4,5,4
5,10,2,3,1,2,4,4,6,4
5,10,2,3,1,2,4,4,7,4
5,10,2,3,1,2,4,4,5,4
5,10,2,3,1,2,4,4,6,4
5,10,2,3,1,2,4,4,7,4
5,10,2,3,1,2,3,4,7,5
5,10,2,3,1,2,3,4,9,5
5,10,2,3,1,2,3,4,10,4
5,10,2,3,1,2,3,4,10,4
5,10,2,3,1,2,4,4,5,4
5,10,2,3,1,2,4,4,6,4
5,10,2,3,1,2,4,4,7,4
5,10,2,3,1,2,3,4,7,5
5,10,2,3,1,2,3,4,9,5
5,10,2,3,1,2,3,4,7,5
5,10,2,3,1,2,3,4,9,5
5,10,2,3,1,2,3,4,10,4
5,10,2,3,1,2,4,4,5,4
5,10,2,3,1,2,4,4,6,4
5,10,2,3,1,2,4,4,7,4
5,10,2,3,1,2,3,4,7,5
5,10,2,3,1,2,3,4,9,5
5,10,2,3,1,2,3,4,10,4
